testcase	rpm	encoder_resolution	kp	ki	traj_type	v_max	estimator_name	p_err_max	p_err_max_pct	p_err_mean	p_err_mean_pct	p_err_rms	p_err_rms_pct	v_err_max	v_err_max_pct	v_err_mean	v_err_mean_pct	v_err_rms	v_err_rms_pct	a_err_max	a_err_max_pct	a_err_mean	a_err_mean_pct	a_err_rms	a_err_rms_pct
1	2	360	10	10	VelocityStep	12	PITrackingLoop(kp=10,ki=10)	1.55563427163658	57.4326903002562	1.2865052165093	22.606816613703	1.29653353702754	26.1802756972785	6.39518220618619	53.2931850515516	-0.390009686973374	-3.25008072477811	2.98257146344912	24.8547621954094	9940.81215489889	Inf	-9.06403559615786	NaN	1116.13607971431	Inf
2	4	360	10	10	VelocityStep	24	PITrackingLoop(kp=10,ki=10)	2.51173794467874	49.6240311877142	2.05002021324915	18.2999403661141	2.07555574371874	21.5339164320801	6.97969086287658	29.0820452619858	-1.0816182772969	-4.50674282207041	3.23164394814843	13.4651831172851	9848.56102168725	Inf	-15.1043181024619	NaN	1568.86700509666	Inf
3	6	360	10	10	VelocityStep	36	PITrackingLoop(kp=10,ki=10)	3.49249374647302	46.3867119309293	2.81677422347432	16.8724803366226	2.85893944734504	19.9814666055934	7.66989439567858	21.3052622102183	-1.68921238726795	-4.69225663129987	3.56437704635939	9.90104735099831	9738.39081004811	Inf	-9.23051890551324	NaN	1877.94935250323	Inf
4	8	360	10	10	VelocityStep	48	PITrackingLoop(kp=10,ki=10)	4.47687186970521	44.7452345703727	3.57959885287445	16.144942924788	3.63897062258965	19.1961909271607	8.54781628127296	17.8079505859853	-2.28423305931993	-4.75881887358318	4.02682137747945	8.38921120308218	9642.68585729464	Inf	-16.1541064634197	NaN	2163.75442704714	Inf
5	10	360	10	10	VelocityStep	60	PITrackingLoop(kp=10,ki=10)	5.45848281366738	43.8952505322762	4.33793449918613	15.6922183814774	4.41473463155302	18.705228229598	9.2036049366433	15.3393415610722	-2.91272875520628	-4.8545479253438	4.49694964010617	7.49491606684362	9531.03763070064	Inf	-10.1485108462316	NaN	2385.86325171797	Inf
6	12	360	10	10	VelocityStep	72	PITrackingLoop(kp=10,ki=10)	6.45413153006276	43.1935648019856	5.11006935452475	15.4277926295313	5.20387058015185	18.4187119128932	10.0899858683164	14.0138692615506	-3.48162722587972	-4.83559336927739	5.06345742725432	7.03257976007544	9435.99655115773	Inf	-17.2531822156502	NaN	2605.2040076403	Inf
7	14	360	10	10	VelocityStep	84	PITrackingLoop(kp=10,ki=10)	7.44549674469203	42.8172211085219	5.87725420626065	15.2277958074789	5.9884458914443	18.2021595033565	11.5025851498297	13.6935537497973	-4.09253399187253	-4.87206427603873	5.63183306959622	6.70456317809074	9339.75801671393	Inf	-24.0346123725759	NaN	2801.92056194633	Inf
8	16	360	10	10	VelocityStep	96	PITrackingLoop(kp=10,ki=10)	8.43326825075581	42.446042256083	6.63859282341367	15.0669180993285	6.76763460434239	18.0292977135354	11.6917619895898	12.178918739156	-4.69936897227725	-4.8951760127888	6.23465260047914	6.49442979216577	9228.88588987702	Inf	-18.1642930532812	NaN	2962.62491646016	Inf
9	18	360	10	10	VelocityStep	108	PITrackingLoop(kp=10,ki=10)	9.4246923652811	42.2122229118625	7.40538050476735	14.9506882051679	7.55189730350716	17.9031709091066	12.580069570157	11.6482125649601	-5.30687829186916	-4.91377619617514	6.85145225006182	6.34393726857576	9129.49109064513	Inf	-24.9761304979536	NaN	3127.36260588147	Inf
10	20	360	10	10	VelocityStep	120	PITrackingLoop(kp=10,ki=10)	10.40206902903	41.9258623796767	8.15259096646638	14.825285506569	8.31704392753679	17.7672848909074	13.2939936555863	11.078328046322	-5.90494602353415	-4.92078835294513	7.47064376084723	6.22553646737269	9023.11685421407	Inf	-19.2421898987147	NaN	3263.72923057384	Inf
11	22	360	10	10	VelocityStep	132	PITrackingLoop(kp=10,ki=10)	11.4069322510725	41.8029584270577	8.93490332173322	14.7758579333719	9.11651283982176	17.7143156506467	14.1753051644951	10.7388675488599	-6.49531646329859	-4.92069429037772	8.12218595500315	6.15317117803269	8923.56585663615	Inf	-26.1563751981237	NaN	3405.11418679592	Inf
12	24	360	10	10	VelocityStep	144	PITrackingLoop(kp=10,ki=10)	12.4000592608716	41.6616319624497	9.69859476414519	14.7083844359864	9.89752486989458	17.6413047840844	15.8763296603747	11.0252289308157	-7.07178759189457	-4.91096360548234	8.75179491038669	6.0776353544352	8829.62231689578	Inf	-33.2514256100373	NaN	3536.46553976478	Inf
13	26	360	10	10	VelocityStep	156	PITrackingLoop(kp=10,ki=10)	13.3877990055017	41.5521144754946	10.4644863297298	14.6550126885464	10.6812399521753	17.5840821935703	16.0349410623488	10.2788083733005	-7.69694572025245	-4.93393956426439	9.41008180586227	6.03210372170659	8720.60015126093	Inf	-27.2165218128299	NaN	3646.0932229179	Inf
14	28	360	10	10	VelocityStep	168	PITrackingLoop(kp=10,ki=10)	14.3831901534953	41.4207141368909	11.2297081490955	14.6075653892584	11.4639429260021	17.5320533639056	17.2991258800236	10.2970987381093	-8.26267646764446	-4.91825980216932	10.0666355868621	5.99204499217984	8622.4485145201	Inf	-34.4102842248871	NaN	3761.03077512083	Inf
15	30	360	10	10	VelocityStep	180	PITrackingLoop(kp=10,ki=10)	15.3671550656345	41.330847130128	11.9881189655388	14.5594775519371	12.2402145939413	17.4801694300139	17.4972437945002	9.72069099694453	-8.89266770055739	-4.9403709447541	10.7278540765091	5.95991893139395	8509.01530383604	Inf	-28.3902909252626	NaN	3857.178772071	Inf
16	32	360	10	10	VelocityStep	192	PITrackingLoop(kp=10,ki=10)	16.3618878982539	41.2674598127319	12.7566265842788	14.5280209965558	13.0262446086666	17.4469661602154	19.0503631014673	9.92206411534753	-9.4911610916547	-4.94331306857016	11.3970317143323	5.93595401788141	8418.21506057681	Inf	-35.2215765449917	NaN	3958.4013792388	Inf
17	34	360	10	10	VelocityStep	204	PITrackingLoop(kp=10,ki=10)	17.3502106951466	41.2281510442187	13.5232639614727	14.4978153612927	13.8103522461072	17.4137206938335	19.2310976153013	9.42700863495161	-10.0964426158894	-4.94923657641639	12.0277379727748	5.8959499866543	8308.46933700451	Inf	-42.0544720537843	NaN	4053.25005799438	Inf
18	36	360	10	10	VelocityStep	216	PITrackingLoop(kp=10,ki=10)	18.3435308250121	41.150200813122	14.2860898246398	14.4680422013721	14.5908927295162	17.3820985237157	20.0104869829166	9.26411434394286	-10.6915225975705	-4.9497789803567	12.7142155368586	5.88621089669379	8201.55377070446	Inf	-36.3570674260295	NaN	4132.43974768898	Inf
19	38	360	10	10	VelocityStep	228	PITrackingLoop(kp=10,ki=10)	19.3380466610591	41.0933312446196	15.0528624033294	14.4444326161416	15.3751877219782	17.3562840946547	20.8501352550522	9.1447961644966	-11.2860037121652	-4.95000162814262	13.3905707405358	5.87305734234028	8104.50479433496	Inf	-43.2241026296726	NaN	4216.25012539488	Inf
20	40	360	10	10	VelocityStep	240	PITrackingLoop(kp=10,ki=10)	20.3158792906297	40.9970333295068	15.8000757884927	14.4070750438455	16.1404520922866	17.3157757036544	22.0514570849332	9.18810711872216	-11.8844139558254	-4.95183914826057	14.0671183874816	5.86129932811734	8005.26028758622	Inf	-37.4867178996098	NaN	4286.05993780765	Inf
21	42	360	10	10	VelocityStep	252	PITrackingLoop(kp=10,ki=10)	21.3361163158825	40.9707299444297	16.5851065534186	14.40357297552	16.9428262877565	17.3125807055088	23.024583735557	9.136739577602	-12.4229867552316	-4.92975664890142	14.7316337871079	5.84588642345553	7904.50322790943	Inf	-32.2573702675021	NaN	4352.86890596887	Inf
22	44	360	10	10	VelocityStep	264	PITrackingLoop(kp=10,ki=10)	22.3124736641073	40.9516482161566	17.345004688763	14.3807721045752	17.7202168514065	17.2876527272443	23.3696004138967	8.85212136890027	-13.0797753455438	-4.95446035816052	15.4002106677228	5.83341313171318	7800.10500780747	Inf	-51.2339963181623	NaN	4429.16730061129	Inf
23	46	360	10	10	VelocityStep	276	PITrackingLoop(kp=10,ki=10)	23.3060222148664	40.9240790377922	18.1133281848647	14.3660712824149	18.5057831101542	17.2717310589687	24.2631620822955	8.79100075445488	-13.6756833992227	-4.95495775334154	16.0723061552509	5.82329933161264	7685.00359368551	Inf	-45.5332495026346	NaN	4486.2747680255	Inf
24	48	360	10	10	VelocityStep	288	PITrackingLoop(kp=10,ki=10)	24.2921319252136	40.879554669701	18.8753767104038	14.3483539026033	19.2854994997965	17.2522482663037	25.8205933523491	8.965483802899	-14.2632658892759	-4.95252287822081	16.7499735110788	5.81596302468015	7600.1535911459	Inf	-52.4603295533466	NaN	4546.93289255851	Inf
